index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
HYBRID,11958380,9239947,5678950,11818525976,3.533,3.19453,3.20581,BinarySearch,128/1000
HYBRID,5665208,5657120,5683003,11818525976,2.72324,2.67329,2.69322,BinarySearch,128/10000
HYBRID,5642070,5667056,5639925,11818525976,2.09764,2.08431,2.11223,BinarySearch,128/100000
HYBRID,5691815,5712485,5688910,11818525976,3.17995,3.19736,3.15303,LinearSearch,128/1000
HYBRID,5692313,5651966,5659247,11818525976,2.60709,2.68378,2.64558,LinearSearch,128/10000
HYBRID,5678835,5683436,5674526,11818525976,2.03266,2.03895,2.03964,LinearSearch,128/100000
DynamicPGM,3710792,3703768,3689465,1703429848,0.91373,0.925692,0.922093,LinearSearch,32
DynamicPGM,2883047,2882632,2884179,1700049908,0.934896,0.934884,0.93044,InterpolationSearch,128
DynamicPGM,2805237,2806793,2806696,1700010848,0.913896,0.909056,0.912649,InterpolationSearch,256
LIPP,11911798,9203349,5684915,11818525760,6.03208,5.2973,5.37739
