index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
HYBRID,18087153,10609819,7383522,20408967304,1.47064,1.40641,1.43621,BinarySearch,128/1000
HYBRID,7362615,7351509,7409521,20408967304,1.38094,1.38206,1.34662,BinarySearch,128/10000
HYBRID,7412603,7432800,7401249,20408967304,1.32961,1.35972,1.32423,BinarySearch,128/100000
HYBRID,7396028,7352439,7420065,20408967304,1.4342,1.43383,1.41808,LinearSearch,128/1000
HYBRID,7358009,7432398,7343115,20408967304,1.38148,1.35892,1.37925,LinearSearch,128/10000
HYBRID,7335737,7326874,7407265,20408967304,1.32456,1.29983,1.32008,LinearSearch,128/100000
DynamicPGM,4500769,4470058,4490618,1700923408,2.69035,2.75105,2.74626,BinarySearch,256
DynamicPGM,4665438,4665982,4666061,1703724028,2.78979,2.8115,2.8109,BinarySearch,64
DynamicPGM,4582085,4582321,4583391,1701839508,2.78498,2.78594,2.78621,BinarySearch,128
LIPP,18109569,10580986,7336642,20408967088,1.79614,1.5989,1.5952
